Accession,Organism_Name,Species,Genotype,Isolate,Segment,Length,Nuc_Completeness,Geo_Location,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
CY088289,Influenza A virus (A/England/492/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,7,982,partial,United Kingdom: Exeter,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-21,2012-03-16,ssRNA(-)
CY088290,Influenza A virus (A/England/492/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,8,838,partial,United Kingdom: Exeter,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-21,2012-03-16,ssRNA(-)
CY088291,Influenza A virus (A/England/491/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,1,2280,partial,United Kingdom: Epsom,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-24,2012-03-16,ssRNA(-)
CY088292,Influenza A virus (A/England/491/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,2,2274,partial,United Kingdom: Epsom,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-24,2012-03-16,ssRNA(-)
CY088293,Influenza A virus (A/England/491/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,3,2151,partial,United Kingdom: Epsom,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-24,2012-03-16,ssRNA(-)
CY088294,Influenza A virus (A/England/491/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,4,1701,partial,United Kingdom: Epsom,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-24,2012-03-16,ssRNA(-)
CY088295,Influenza A virus (A/England/491/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,5,1497,partial,United Kingdom: Epsom,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-24,2012-03-16,ssRNA(-)
CY088296,Influenza A virus (A/England/491/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,6,1410,partial,United Kingdom: Epsom,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-24,2012-03-16,ssRNA(-)
CY088297,Influenza A virus (A/England/491/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,7,982,partial,United Kingdom: Epsom,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-24,2012-03-16,ssRNA(-)
CY088298,Influenza A virus (A/England/491/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,8,838,partial,United Kingdom: Epsom,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-24,2012-03-16,ssRNA(-)
CY088299,Influenza A virus (A/England/493/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,1,2280,partial,United Kingdom: Leeds,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-23,2012-03-16,ssRNA(-)
CY088300,Influenza A virus (A/England/493/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,2,2274,partial,United Kingdom: Leeds,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-23,2012-03-16,ssRNA(-)
CY088301,Influenza A virus (A/England/493/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,3,2151,partial,United Kingdom: Leeds,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-23,2012-03-16,ssRNA(-)
CY088302,Influenza A virus (A/England/493/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,4,1701,partial,United Kingdom: Leeds,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-23,2012-03-16,ssRNA(-)
CY088303,Influenza A virus (A/England/493/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,5,1497,partial,United Kingdom: Leeds,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-23,2012-03-16,ssRNA(-)
CY088304,Influenza A virus (A/England/493/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,6,1410,partial,United Kingdom: Leeds,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-23,2012-03-16,ssRNA(-)
CY088305,Influenza A virus (A/England/493/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,7,982,partial,United Kingdom: Leeds,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-23,2012-03-16,ssRNA(-)
CY088306,Influenza A virus (A/England/493/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,8,838,partial,United Kingdom: Leeds,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-23,2012-03-16,ssRNA(-)
CY088307,Influenza A virus (A/England/528/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,1,2280,partial,United Kingdom,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-12,2012-03-16,ssRNA(-)
CY088308,Influenza A virus (A/England/528/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,2,2274,partial,United Kingdom,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-12,2012-03-16,ssRNA(-)
CY088309,Influenza A virus (A/England/528/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,3,2151,partial,United Kingdom,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-12,2012-03-16,ssRNA(-)
CY088310,Influenza A virus (A/England/528/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,4,1701,partial,United Kingdom,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-12,2012-03-16,ssRNA(-)
CY088311,Influenza A virus (A/England/528/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,5,1497,partial,United Kingdom,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-12,2012-03-16,ssRNA(-)
CY088312,Influenza A virus (A/England/528/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,6,1410,partial,United Kingdom,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-12,2012-03-16,ssRNA(-)
CY088313,Influenza A virus (A/England/528/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,7,982,partial,United Kingdom,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-12,2012-03-16,ssRNA(-)
CY088314,Influenza A virus (A/England/528/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,8,838,partial,United Kingdom,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-12,2012-03-16,ssRNA(-)
CY088315,Influenza A virus (A/England/485/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,1,2280,partial,United Kingdom: Oxford,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-12-05,2012-03-16,ssRNA(-)
CY088316,Influenza A virus (A/England/485/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,2,2274,partial,United Kingdom: Oxford,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-12-05,2012-03-16,ssRNA(-)
CY088317,Influenza A virus (A/England/485/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,3,2151,partial,United Kingdom: Oxford,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-12-05,2012-03-16,ssRNA(-)
CY088318,Influenza A virus (A/England/485/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,4,1701,partial,United Kingdom: Oxford,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-12-05,2012-03-16,ssRNA(-)
CY088319,Influenza A virus (A/England/485/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,5,1497,partial,United Kingdom: Oxford,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-12-05,2012-03-16,ssRNA(-)
CY088320,Influenza A virus (A/England/485/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,6,1410,partial,United Kingdom: Oxford,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-12-05,2012-03-16,ssRNA(-)
CY088321,Influenza A virus (A/England/485/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,7,982,partial,United Kingdom: Oxford,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-12-05,2012-03-16,ssRNA(-)
CY088322,Influenza A virus (A/England/485/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,8,838,partial,United Kingdom: Oxford,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-12-05,2012-03-16,ssRNA(-)
CY088323,Influenza A virus (A/England/508/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,1,2280,partial,United Kingdom: Reading,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-27,2012-03-16,ssRNA(-)
CY088324,Influenza A virus (A/England/508/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,2,2274,partial,United Kingdom: Reading,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-27,2012-03-16,ssRNA(-)
CY088325,Influenza A virus (A/England/508/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,3,2151,partial,United Kingdom: Reading,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-27,2012-03-16,ssRNA(-)
CY088326,Influenza A virus (A/England/508/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,4,1701,partial,United Kingdom: Reading,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-27,2012-03-16,ssRNA(-)
CY088327,Influenza A virus (A/England/508/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,5,1497,partial,United Kingdom: Reading,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-27,2012-03-16,ssRNA(-)
CY088328,Influenza A virus (A/England/508/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,6,1410,partial,United Kingdom: Reading,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-27,2012-03-16,ssRNA(-)
CY088329,Influenza A virus (A/England/508/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,7,982,partial,United Kingdom: Reading,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-27,2012-03-16,ssRNA(-)
CY088330,Influenza A virus (A/England/508/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,8,838,partial,United Kingdom: Reading,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-27,2012-03-16,ssRNA(-)
CY088331,Influenza A virus (A/England/568/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,1,2280,partial,United Kingdom: Reading,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-26,2012-03-16,ssRNA(-)
CY088332,Influenza A virus (A/England/568/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,2,2274,partial,United Kingdom: Reading,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-26,2012-03-16,ssRNA(-)
CY088333,Influenza A virus (A/England/568/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,3,2151,partial,United Kingdom: Reading,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-26,2012-03-16,ssRNA(-)
CY088334,Influenza A virus (A/England/568/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,4,1701,partial,United Kingdom: Reading,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-26,2012-03-16,ssRNA(-)
CY088335,Influenza A virus (A/England/568/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,5,1497,partial,United Kingdom: Reading,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-26,2012-03-16,ssRNA(-)
CY088336,Influenza A virus (A/England/568/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,6,1410,partial,United Kingdom: Reading,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-26,2012-03-16,ssRNA(-)
CY088337,Influenza A virus (A/England/568/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,7,982,partial,United Kingdom: Reading,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-26,2012-03-16,ssRNA(-)
CY088338,Influenza A virus (A/England/568/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,8,838,partial,United Kingdom: Reading,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-26,2012-03-16,ssRNA(-)
CY088339,Influenza A virus (A/England/957/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,1,2280,partial,United Kingdom: Bristol,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-28,2012-03-16,ssRNA(-)
CY088340,Influenza A virus (A/England/957/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,2,2274,partial,United Kingdom: Bristol,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-28,2012-03-16,ssRNA(-)
CY088341,Influenza A virus (A/England/957/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,3,2151,partial,United Kingdom: Bristol,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-28,2012-03-16,ssRNA(-)
CY088342,Influenza A virus (A/England/957/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,4,1701,partial,United Kingdom: Bristol,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-28,2012-03-16,ssRNA(-)
CY088343,Influenza A virus (A/England/957/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,5,1497,partial,United Kingdom: Bristol,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-28,2012-03-16,ssRNA(-)
CY088344,Influenza A virus (A/England/957/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,6,1410,partial,United Kingdom: Bristol,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-28,2012-03-16,ssRNA(-)
CY088345,Influenza A virus (A/England/957/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,7,982,partial,United Kingdom: Bristol,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-28,2012-03-16,ssRNA(-)
CY088346,Influenza A virus (A/England/957/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,8,838,partial,United Kingdom: Bristol,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-28,2012-03-16,ssRNA(-)
CY088347,Influenza A virus (A/England/567/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,1,2280,partial,United Kingdom: Nottingham,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-12-04,2012-03-16,ssRNA(-)
CY088348,Influenza A virus (A/England/567/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,2,2274,partial,United Kingdom: Nottingham,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-12-04,2012-03-16,ssRNA(-)
CY088349,Influenza A virus (A/England/567/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,3,2151,partial,United Kingdom: Nottingham,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-12-04,2012-03-16,ssRNA(-)
CY088350,Influenza A virus (A/England/567/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,4,1701,partial,United Kingdom: Nottingham,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-12-04,2012-03-16,ssRNA(-)
CY088351,Influenza A virus (A/England/567/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,5,1497,partial,United Kingdom: Nottingham,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-12-04,2012-03-16,ssRNA(-)
CY088352,Influenza A virus (A/England/567/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,6,1410,partial,United Kingdom: Nottingham,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-12-04,2012-03-16,ssRNA(-)
CY088353,Influenza A virus (A/England/567/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,7,982,partial,United Kingdom: Nottingham,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-12-04,2012-03-16,ssRNA(-)
CY088354,Influenza A virus (A/England/567/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,8,838,partial,United Kingdom: Nottingham,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-12-04,2012-03-16,ssRNA(-)
CY088355,Influenza A virus (A/England/805/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,1,2280,partial,United Kingdom,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11,2012-03-16,ssRNA(-)
CY088356,Influenza A virus (A/England/805/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,2,2274,partial,United Kingdom,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11,2012-03-16,ssRNA(-)
CY088357,Influenza A virus (A/England/805/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,3,2151,partial,United Kingdom,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11,2012-03-16,ssRNA(-)
CY088358,Influenza A virus (A/England/805/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,4,1701,partial,United Kingdom,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11,2012-03-16,ssRNA(-)
CY088359,Influenza A virus (A/England/805/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,5,1497,partial,United Kingdom,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11,2012-03-16,ssRNA(-)
CY088360,Influenza A virus (A/England/805/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,6,1410,partial,United Kingdom,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11,2012-03-16,ssRNA(-)
CY088361,Influenza A virus (A/England/805/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,7,982,partial,United Kingdom,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11,2012-03-16,ssRNA(-)
CY088362,Influenza A virus (A/England/805/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,8,838,partial,United Kingdom,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11,2012-03-16,ssRNA(-)
CY088363,Influenza A virus (A/England/558/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,1,2280,partial,United Kingdom: Reading,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-12-05,2012-03-16,ssRNA(-)
CY088364,Influenza A virus (A/England/558/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,2,2274,partial,United Kingdom: Reading,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-12-05,2012-03-16,ssRNA(-)
CY088365,Influenza A virus (A/England/558/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,3,2151,partial,United Kingdom: Reading,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-12-05,2012-03-16,ssRNA(-)
CY088366,Influenza A virus (A/England/558/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,4,1701,partial,United Kingdom: Reading,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-12-05,2012-03-16,ssRNA(-)
CY088367,Influenza A virus (A/England/558/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,5,1497,partial,United Kingdom: Reading,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-12-05,2012-03-16,ssRNA(-)
CY088368,Influenza A virus (A/England/558/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,6,1410,partial,United Kingdom: Reading,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-12-05,2012-03-16,ssRNA(-)
CY088369,Influenza A virus (A/England/558/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,7,982,partial,United Kingdom: Reading,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-12-05,2012-03-16,ssRNA(-)
CY088370,Influenza A virus (A/England/558/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,8,838,partial,United Kingdom: Reading,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-12-05,2012-03-16,ssRNA(-)
CY088371,Influenza A virus (A/England/534/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,1,2280,partial,United Kingdom: Poole,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-26,2012-03-16,ssRNA(-)
CY088372,Influenza A virus (A/England/534/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,2,2274,partial,United Kingdom: Poole,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-26,2012-03-16,ssRNA(-)
CY088373,Influenza A virus (A/England/534/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,3,2151,partial,United Kingdom: Poole,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-26,2012-03-16,ssRNA(-)
CY088374,Influenza A virus (A/England/534/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,4,1701,partial,United Kingdom: Poole,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-26,2012-03-16,ssRNA(-)
CY088375,Influenza A virus (A/England/534/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,5,1497,partial,United Kingdom: Poole,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-26,2012-03-16,ssRNA(-)
CY088376,Influenza A virus (A/England/534/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,6,1410,partial,United Kingdom: Poole,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-26,2012-03-16,ssRNA(-)
CY088377,Influenza A virus (A/England/534/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,7,982,partial,United Kingdom: Poole,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-26,2012-03-16,ssRNA(-)
CY088378,Influenza A virus (A/England/534/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,8,838,partial,United Kingdom: Poole,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-26,2012-03-16,ssRNA(-)
CY088379,Influenza A virus (A/England/532/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,1,2280,partial,United Kingdom: London,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-27,2012-03-16,ssRNA(-)
CY088380,Influenza A virus (A/England/532/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,2,2274,partial,United Kingdom: London,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-27,2012-03-16,ssRNA(-)
CY088381,Influenza A virus (A/England/532/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,3,2151,partial,United Kingdom: London,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-27,2012-03-16,ssRNA(-)
CY088382,Influenza A virus (A/England/532/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,4,1701,partial,United Kingdom: London,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-27,2012-03-16,ssRNA(-)
CY088383,Influenza A virus (A/England/532/2003(H3N2)),Alphainfluenzavirus influenzae,H3N2,,5,1497,partial,United Kingdom: London,Homo sapiens,,"Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R., Zambon,M.",2003-11-27,2012-03-16,ssRNA(-)
